time,length
77603125, 6877149
691177876, 64546320
698944792, 64973462
501836917, 48186344
1030187917, 97474169
113010126, 10561861
555328750, 52475363
239657708, 20962457
387296750, 31845543
375461334, 34100696
763850625, 73866270
851542626, 86840126
185920083, 17149831
380042708, 35258761
919698834, 86008442
218160500, 20138926
482015709, 44996415
521712625, 47169385
838663292, 73177181
729129250, 73478091
707743376, 72705991
684060750, 68252905
1113851834, 97488969
119319417, 11038466
1034413043, 97068844
856351667, 88188069
959277876, 91354722
1023967626, 103217215
1130207292, 105415027
340526958, 35021174
64212084, 5378429
30594750, 2017013
42976750, 3191969
1000380209, 103992265
126310834, 11054085
96194083, 8448160
718976375, 73952058
175234959, 15368888
1139537250, 102937195
897949042, 93550292
50141250, 4077857
223793042, 20128658
226283375, 20670885
807792583, 75045992
771334459, 78690143
350389001, 32915267
166721083, 16366397
464142250, 47738796
837099376, 79506146
137463292, 13240489
619120875, 54952226
558755500, 50583837
691940833, 68950123
330397667, 33587067
556005250, 50256345
269189751, 27562388
623134792, 63341017
135974500, 13018577
829275459, 77970643
10997375, 249776
220991583, 20402895
246541625, 22795701
297562292, 27585907
162098792, 15853525
78809833, 6629534
324480083, 28152877
735810042, 73898366
645399041, 67093449
577002875, 53605721
626771792, 57584768
154721333, 14869954
388704042, 35854629
956716418, 96872095
129680708, 12073315
97394167, 8971783
374908000, 38223916
188878667, 18957897
306224708, 30739450
794733542, 75132026
432193708, 40272203
243964292, 22470949
714896625, 66652793
382034792, 39532005
707867626, 73477025
266420792, 26550439
396488417, 37139905
925419000, 96724972
871069500, 82563940
861919918, 80614923
980785750, 102952694
121844625, 11128618
149183792, 13817814
1033311292, 107151268
916345209, 85150093
423702667, 42954782
509367500, 48333668
19977875, 1025359
613439750, 58180092
544582084, 55959997
1102302459, 103542627
939304251, 88475211
150253084, 13743903
700392292, 65984470
628279792, 58039388
849996667, 81202704
1040140043, 107818159
376436084, 38292987
526091167, 49596034
1140535959, 106795696
742847584, 70163884
973448583, 91100016
71169500, 6031061
984665542, 92921695
861108042, 81437434
213762583, 18849648
15268875, 670603
455650708, 46922568
1021490751, 103466304
1158750167, 107858983
879031708, 92233033
281602000, 27862100
958454084, 91057546
826119209, 76395022
1000066542, 89366781
528472375, 49327821
834073084, 74091001
356941167, 36279947
1000419876, 99253644
467857125, 42312184
521397958, 51531617
457022875, 43056951
909007209, 84633937
82760750, 7663894
600615750, 62013008
544418584, 51654319
1011033250, 95161294
157532959, 15406328
434923209, 40184075
1058974709, 99205889
610847584, 56324477
96571459, 8387325
940620125, 89299549
779935750, 72448525
626525000, 65304859
364648125, 36965274
750049250, 78527014
42602792, 3160550
172193917, 15809551
1101411251, 104178335
197435083, 19859819
100300125, 8445773
290626251, 22853712
384723833, 35469388
136963416, 13327980
1001112792, 98631846
549133959, 50776931
927526959, 86911889
833433958, 87063314
338357416, 34025905
95291125, 7537628
758930417, 79173049
397194251, 41269830
555311459, 51883634
733937751, 69632283
651036750, 61258150
470956917, 44373944
905585250, 91550964
651274083, 67379706
793272542, 75306620
222103334, 19770486
680228792, 63485739
523306541, 48929542
525327876, 54747771
659622917, 67062220
606989083, 56864712
1035349459, 98635452
1130880709, 104939039
593257875, 60302729
662100417, 68446174
212552542, 21326160
567651209, 57959529
776880251, 80830061
549294458, 50967637
952464459, 99695260
484659042, 45830502
116100458, 11089589
523655042, 49424549
589877542, 61409530
934969626, 97022825
409384208, 37955324
197810500, 19900951
915914709, 94306416
1073561167, 98738377
1081827792, 101929567
943218542, 98846228
472527250, 43826965
614542876, 57953620
835245042, 87307095
416451625, 38739101
788066042, 74582329
287527208, 29258646
902540250, 93843950
19193292, 1019835
615351083, 64207054
738224376, 69102409
821800875, 78395268
900069667, 94035114
483768042, 50417698
510891875, 52593813
438714833, 41018947
645536334, 61097598
159091667, 15702503
48188833, 3813276
26238750, 1724046
145704167, 12933442
738868459, 77558145
374323208, 37810909
71601833, 5785986
404058375, 40839765
55992333, 4437157
886440875, 84210203
357862750, 33066941
748525000, 69875874
668953458, 68229355
800345834, 83993182
896125834, 93882582
535955917, 55147402
496798542, 45742384
419144458, 38488224
798562584, 75410746
794048583, 75405082
320433625, 29665708
991829334, 94358030
922193334, 87767232
467775959, 43838066
551770167, 50800109
765402375, 72858909
1011622126, 96180008
746175209, 78755667
218598917, 20045924
190930250, 17397403
149344333, 13653456
1041098626, 107682507
209344666, 21095081
831249917, 87051127
271590791, 24679693
201418042, 19837128
955214834, 90112368
813995625, 84892273
412206459, 37118654
477607125, 44273603
775396500, 79220893
85569958, 6951861
487207667, 45876248
75307375, 6827042
427549875, 44261069
